origin,destination,count
Emery,Washington,7500
Emery,Wayne,1300
Emery,Weber,6900
Garfield,Beaver,7900
Garfield,Box Elder,100
Garfield,Cache,100
Garfield,Carbon,0
Garfield,Daggett,0
Garfield,Davis,200
Garfield,Duchesne,100
Garfield,Emery,300
Garfield,Garfield,0
Garfield,Grand,600
Garfield,Iron,9400
Garfield,Juab,1700
Garfield,Kane,25700
Garfield,Millard,2900
Garfield,Morgan,0
Garfield,Piute,1300
Garfield,Rich,0
Garfield,Salt Lake,3400
Garfield,San Juan,200
Garfield,Sanpete,800
Garfield,Sevier,4800
Garfield,Summit,200
Garfield,Tooele,100
Garfield,Uintah,0
Garfield,Utah,3100
Garfield,Wasatch,100
Garfield,Washington,7000
Garfield,Wayne,3200
Garfield,Weber,200
Grand,Beaver,5900
Grand,Box Elder,1700
Grand,Cache,100
Grand,Carbon,10200
Grand,Daggett,0
Grand,Davis,3000
Grand,Duchesne,400
Grand,Emery,27600
Grand,Garfield,200
Grand,Grand,0
Grand,Iron,7800
Grand,Juab,200
Grand,Kane,0
Grand,Millard,400
Grand,Morgan,0
Grand,Piute,100
Grand,Rich,0
Grand,Salt Lake,12600
Grand,San Juan,29300
Grand,Sanpete,400
Grand,Sevier,12700
Grand,Summit,100
Grand,Tooele,200
Grand,Uintah,700
Grand,Utah,7800
Grand,Wasatch,200
Grand,Washington,2800
Grand,Wayne,1500
Grand,Weber,500
Iron,Beaver,101600
Iron,Box Elder,18500
Iron,Cache,1700
Iron,Carbon,200
Iron,Daggett,0
Iron,Davis,17400
Iron,Duchesne,100
Iron,Emery,18500
Iron,Garfield,8800
Iron,Grand,1800
Iron,Iron,0
Iron,Juab,55400
Iron,Kane,10000
Iron,Millard,62400
Iron,Morgan,100
Iron,Piute,500
Iron,Rich,100
Iron,Salt Lake,108000
Iron,San Juan,200
Iron,Sanpete,1100
Iron,Sevier,48100
Iron,Summit,7000
Iron,Tooele,10900
Iron,Uintah,100
Iron,Utah,76600
Iron,Wasatch,1700
Iron,Washington,256200
Iron,Wayne,500
Iron,Weber,13200
Juab,Beaver,34000
Juab,Box Elder,18700
Juab,Cache,2500
Juab,Carbon,600
Juab,Daggett,0
Juab,Davis,20200
Juab,Duchesne,600
Juab,Emery,2400
Juab,Garfield,1500
Juab,Grand,400
Juab,Iron,54200
Juab,Juab,0
Juab,Kane,3200
Juab,Millard,24200
Juab,Morgan,800
Juab,Piute,300
Juab,Rich,0
Juab,Salt Lake,97700
Juab,San Juan,1200
Juab,Sanpete,13900
Juab,Sevier,22400
Juab,Summit,6900
Juab,Tooele,9700
Juab,Uintah,100
Juab,Utah,81600
Juab,Wasatch,2100
Juab,Washington,30800
Juab,Wayne,200
Juab,Weber,10700
Kane,Beaver,17500
Kane,Box Elder,100
Kane,Cache,0
Kane,Carbon,100
Kane,Daggett,0
Kane,Davis,300
Kane,Duchesne,0
Kane,Emery,100
Kane,Garfield,30100
Kane,Grand,100
Kane,Iron,12000
Kane,Juab,2600
Kane,Kane,0
Kane,Millard,3700
Kane,Morgan,0
Kane,Piute,800
Kane,Rich,0
Kane,Salt Lake,4000
Kane,San Juan,0
Kane,Sanpete,100
Kane,Sevier,4400
Kane,Summit,0
Kane,Tooele,100
Kane,Uintah,0
Kane,Utah,2900
Kane,Wasatch,100
Kane,Washington,25000
Kane,Wayne,200
Kane,Weber,400
Millard,Beaver,35100
Millard,Box Elder,13900
Millard,Cache,900
Millard,Carbon,400
Millard,Daggett,100
Millard,Davis,13200
Millard,Duchesne,300
Millard,Emery,700
Millard,Garfield,2000
Millard,Grand,600
Millard,Iron,51200
Millard,Juab,26600
Millard,Kane,4900
Millard,Millard,0
Millard,Morgan,100
Millard,Piute,200
Millard,Rich,0
Millard,Salt Lake,68300
Millard,San Juan,100
Millard,Sanpete,1200
Millard,Sevier,9700
Millard,Summit,4000
Millard,Tooele,11300
Millard,Uintah,100
Millard,Utah,48000
Millard,Wasatch,1600
Millard,Washington,31000
Millard,Wayne,100
Millard,Weber,7600
Morgan,Beaver,200
Morgan,Box Elder,14300
Morgan,Cache,4000
Morgan,Carbon,2500
Morgan,Daggett,0
Morgan,Davis,38700
Morgan,Duchesne,700
Morgan,Emery,3800
Morgan,Garfield,0
Morgan,Grand,0
Morgan,Iron,300
Morgan,Juab,700
Morgan,Kane,0
Morgan,Millard,100
Morgan,Morgan,0
Morgan,Piute,0
Morgan,Rich,200
Morgan,Salt Lake,28500
Morgan,San Juan,0
Morgan,Sanpete,400
Morgan,Sevier,600
Morgan,Summit,13400
Morgan,Tooele,600
Morgan,Uintah,100
Morgan,Utah,3100
Morgan,Wasatch,1400
Morgan,Washington,100
Morgan,Wayne,0
Morgan,Weber,64400
Piute,Beaver,3700
Piute,Box Elder,0
Piute,Cache,0
Piute,Carbon,0
Piute,Daggett,0
Piute,Davis,300
Piute,Duchesne,0
Piute,Emery,100
Piute,Garfield,2200
Piute,Grand,0
Piute,Iron,800
Piute,Juab,100
Piute,Kane,700
Piute,Millard,100
Piute,Morgan,0
Piute,Piute,0
Piute,Rich,0
Piute,Salt Lake,700
Piute,San Juan,0
Piute,Sanpete,200
Piute,Sevier,4100
Piute,Summit,200
Piute,Tooele,0
Piute,Uintah,0
Piute,Utah,300
Piute,Wasatch,100
Piute,Washington,400
Piute,Wayne,100
Piute,Weber,0
Rich,Beaver,0
Rich,Box Elder,900
Rich,Cache,11000
Rich,Carbon,0
Rich,Daggett,0
Rich,Davis,800
Rich,Duchesne,0
Rich,Emery,0
Rich,Garfield,0
Rich,Grand,0
Rich,Iron,0
Rich,Juab,100
Rich,Kane,0
Rich,Millard,100
Rich,Morgan,400
Rich,Piute,0
Rich,Rich,0
Rich,Salt Lake,3700
Rich,San Juan,0
Rich,Sanpete,0
Rich,Sevier,0
Rich,Summit,400
Rich,Tooele,100
Rich,Uintah,0
Rich,Utah,400
Rich,Wasatch,100
Rich,Washington,0
Rich,Wayne,0
Rich,Weber,1200
Salt Lake,Beaver,71000
Salt Lake,Box Elder,310300
Salt Lake,Cache,123400
Salt Lake,Carbon,34200
Salt Lake,Daggett,500
Salt Lake,Davis,1744100
Salt Lake,Duchesne,57200
Salt Lake,Emery,21800
Salt Lake,Garfield,3100
Salt Lake,Grand,7600
Salt Lake,Iron,88000
Salt Lake,Juab,105800
Salt Lake,Kane,4400
Salt Lake,Millard,48700
Salt Lake,Morgan,26200
Salt Lake,Piute,100
Salt Lake,Rich,3800
Salt Lake,Salt Lake,0
Salt Lake,San Juan,8500
Salt Lake,Sanpete,13600
Salt Lake,Sevier,19600
